"subj","condition","nAlt","val1","val2","val3","upVal","leftVal","rightVal","rt","chosenPos","correctPos","conf","rt2","corr","targetPos","distractorPos","dudPos","chosenItem"
"sub01",0.3,3,100,90,27,90,100,27,0.858833399834111,"left","left",4,0.845507999882102,1,"left","up","right","target"
"sub01",0.7,3,100,90,63,63,100,90,1.08392689982429,"right","left",1,1.11035579978488,0,"left","right","up","distractor"
"sub01",0.95,3,100,90,86,86,90,100,0.770683999871835,"right","right",4,0.467170699965209,1,"right","left","up","target"
"sub01",0.85,3,100,90,76,100,76,90,1.05645179981366,"right","up",3,0.792281999951228,0,"up","right","left","distractor"
"sub01",0.7,3,100,90,63,90,100,63,1.03101899987087,"left","left",4,0.524039999814704,1,"left","up","right","target"
"sub01",0.5,3,100,90,45,100,90,45,0.978206499945372,"left","up",2,0.679213599767536,0,"up","left","right","distractor"
"sub01",0,2,100,90,0,90,0,100,1.23257239977829,"right","right",3,0.859846399864182,1,"right","up","left","target"
"sub01",0.85,3,100,90,76,76,100,90,1.07901299977675,"left","left",4,0.668310299748555,1,"left","right","up","target"
"sub01",0.85,3,100,90,76,76,90,100,1.02952899993397,"right","right",2,0.659372800029814,1,"right","left","up","target"
"sub01",0.95,3,100,90,86,100,90,86,1.25770259997807,"left","up",3,0.926749599864706,0,"up","left","right","distractor"
"sub01",0.5,3,100,90,45,90,45,100,0.877320300089195,"up","right",3,0.620097699807957,0,"right","up","left","distractor"
"sub01",0.5,3,100,90,45,100,45,90,0.771169299725443,"up","up",4,0.396885799942538,1,"up","right","left","target"
"sub01",0.5,3,100,90,45,45,90,100,0.802043699892238,"left","right",2,0.800673299701884,0,"right","left","up","distractor"
"sub01",0.5,3,100,90,45,45,100,90,0.77269409969449,"left","left",4,0.325477499747649,1,"left","right","up","target"
"sub01",0,2,100,90,0,90,100,0,1.26842459966429,"left","left",4,1.12240139977075,1,"left","up","right","target"
"sub01",0,2,100,90,0,0,100,90,0.738097699824721,"right","left",3,0.741431199945509,0,"left","right","up","distractor"
"sub01",0.85,3,100,90,76,90,76,100,1.4572262999136,"left","right",2,0.662880999967456,0,"right","up","left","dud"
"sub01",0.7,3,100,90,63,100,90,63,0.937984899850562,"left","up",4,0.309544999850914,0,"up","left","right","distractor"
"sub01",0.95,3,100,90,86,100,86,90,0.803780799964443,"left","up",3,0.489609699929133,0,"up","right","left","dud"
"sub01",0.7,3,100,90,63,63,90,100,0.8399005997926,"left","right",3,0.443253299919888,0,"right","left","up","distractor"
